,year,States,GDP_per_capita,Poverty_rate,Unemployment total,Unemployment rate
11,2019,Georgia,557364.4,13.3,184537,3.6
12,2019,Hawaii,79213.4,8,17349,2.5
13,2019,Idaho,74162.6,11.8,25523,2.9
14,2019,Illinois,775998.1,10.9,260782,4
15,2019,Indiana,337902.2,11.1,112371,3.3
16,2019,Iowa,173722,8.3,46462,2.7
17,2019,Kansas,159826.2,10.5,49289,3.3
18,2019,Kentucky,192971.9,15.3,85103,4.1
19,2019,Louisiana,237044.6,17.4,97763,4.6
20,2019,Maine,59553.4,11.2,20335,2.9
21,2019,Maryland,368056.4,7.1,113048,3.4
22,2019,Massachusetts,514170.8,7.5,116181,3
23,2019,Michigan,467107,11.6,202560,4.1
24,2019,Minnesota,340557.1,7.6,101308,3.3
25,2019,Mississippi,100982.8,19,70502,5.5
26,2019,Missouri,290619.5,12.2,99118,3.2
27,2019,Montana,46886.2,11.8,19055,3.5
28,2019,Nebraska,118603.7,8.4,32847,3.1
29,2019,Nevada,156959.1,10.5,63666,4.1
30,2019,New Hampshire,76819.1,5.6,20024,2.6
31,2019,New Jersey,559648.8,7.9,161970,3.5
32,2019,New Mexico,94897.4,17.9,47391,5
33,2019,New York,1500833.4,11.3,379452,3.9
34,2019,North Carolina,512834.8,12.2,192382,3.9
35,2019,North Dakota,56385.4,9.9,9052,2.2
36,2019,Ohio,613251.4,11,244879,4.2
37,2019,Oklahoma,201161.5,13.2,57812,3.1
38,2019,Oregon,219588,10.6,77584,3.7
39,2019,Pennsylvania,715060.7,9.7,285812,4.3
40,2019,Rhode Island,53411.4,10.5,20270,3.5
41,2019,South Carolina,213237.8,12.9,64693,2.8
42,2019,South Dakota,46650.5,10.4,12976,2.8
43,2019,Tennessee,331176.6,13.5,111606,3.3
44,2019,Texas,1779781.4,13.7,492708,3.5
45,2019,Utah,172038.4,8,41106,2.5
46,2019,Vermont,29940.7,7.8,7490,2.1
47,2019,Virginia,489199.1,8.1,122471,2.8
48,2019,Washington,533150.4,9.1,166916,4.2
49,2019,West Virginia,72633.4,16,39390,5
50,2019,Wisconsin,303669,9.5,98901,3.2
51,2019,Wyoming,38446.6,9.5,10887,3.7
1,2020,Alabama,199880.8,16.2,145263,6.4
2,2020,Alaska,50705.2,9.9,28852,8.3
3,2020,Arizona,327178,14.4,271187,7.8
4,2020,Arkansas,117268.2,16.6,83166,6.2
5,2020,California,2667220.9,12.8,1923991,10.1
6,2020,Colorado,353345.2,9.7,208768,6.8
7,2020,Connecticut,235234.9,9.2,149621,7.9
8,2020,Delaware,62281.8,9.7,36532,7.5
9,2020,District of Columbia,122485.3,N/A,30508,7.9
10,2020,Florida,950164.4,12.7,821101,8.1
11,2020,Georgia,537615.8,13.7,328962,6.5
12,2020,Hawaii,70109.4,9,77906,11.7
13,2020,Idaho,75145.5,12.1,49471,5.5
14,2020,Illinois,734385,11.6,590812,9.3
15,2020,Indiana,327277.9,12.2,243638,7.3
16,2020,Iowa,170957.4,9.3,86248,5.2
17,2020,Kansas,158348.3,10.8,87557,5.8
18,2020,Kentucky,188396.3,16.7,130929,6.5
19,2020,Louisiana,218421.7,18.4,177595,8.6
20,2020,Maine,59881.4,11.9,33940,5.1
21,2020,Maryland,352384,8,210055,6.5
22,2020,Massachusetts,500001,8,350774,9.4
23,2020,Michigan,448455.3,12.5,483886,10
24,2020,Minnesota,328489.5,8.3,196146,6.3
25,2020,Mississippi,100526.9,19.8,99638,8
26,2020,Missouri,282754.1,13.3,185933,6.1
27,2020,Montana,46750.4,12.4,31789,5.8
28,2020,Nebraska,118141.5,8.8,44946,4.3
29,2020,Nevada,146492.5,11.6,203641,13.5
30,2020,New Hampshire,75927.6,6.3,50993,6.7
31,2020,New Jersey,535323.7,9.3,437937,9.4
32,2020,New Mexico,92496.3,19.7,73571,7.9
33,2020,New York,1432507,12.3,935358,9.8
34,2020,North Carolina,506658.1,13.5,347623,7.2
35,2020,North Dakota,53653.6,9.7,20384,5
36,2020,Ohio,594143.6,12.4,473768,8.2
37,2020,Oklahoma,192485.5,13.9,116031,6.3
38,2020,Oregon,215743.6,11.5,159795,7.6
39,2020,Pennsylvania,680957.4,11.1,581383,8.9
40,2020,Rhode Island,51516.1,11.6,52236,9.2
41,2020,South Carolina,208234.1,14.4,139855,6
42,2020,South Dakota,47402.4,11.3,19606,4.2
43,2020,Tennessee,323454,14.8,246521,7.5
44,2020,Texas,1747562,14.9,1071529,7.7
45,2020,Utah,174954.7,9.2,79599,4.8
46,2020,Vermont,29064.6,8.7,19268,5.7
47,2020,Virginia,478909.3,9.1,280533,6.5
48,2020,Washington,538856.1,10,332714,8.5
49,2020,West Virginia,70444.2,16.6,64276,8.2
50,2020,Wisconsin,293104.9,10.3,197294,6.4
51,2020,Wyoming,36268.6,10.3,17260,5.9
